libelleOrg;idMemo;typeOrganisme;ancienNom;paysOrg;adresseComplAdresseOrg;adresseVoieNumeroOrg;adresseVoieExtOuIndRepOrg;adresseVoieTypeVoieOrg;adresseVoieNomVoieOrg;adresseMentionsDistribOrg;adresseAcheminPostalCedexOrg;adresseAcheminPostalLibelleCedexOrg;adresseCodePostalOrg;adresseCommuneOrg;adresseCodeInseeOrg;interneMUMuseeDeFrance;natureOrganisme;libelleOffre;typeOffre;themes;horaire;tarifs;conditions;premiereOuverture;ouvertureExceptionnelle;hebdoEstOuvertLundi;hebdoEstOuvertMardi;hebdoEstOuvertMercredi;hebdoEstOuvertJeudi;hebdoEstOuvertVendredi;hebdoEstOuvertSamedi;hebdoEstOuvertDimanche;periodeDateDebut;periodeDateFin;temporaire;joursExceptionnels;gratuit;libelleLieu;typesLieu;batiment;accesHandicapes;adresseComplAdresseLieu;adresseVoieNumeroLieu;adresseVoieExtOuIndRepLieu;adresseVoieTypeVoieLieu;adresseVoieNomVoieLieu;adresseMentionsDistribLieu;adresseAcheminPostalCedexLieu;adresseAcheminPostalLibelleCedexLieu;adresseCodePostalLieu;adresseCommuneLieu;adresseCodeInseeLieu;interneClasse;interneDateClasse;interneInscrit;interneDateInscrit;interneElementClasseOuInscrit;interneEspaceProtege;interneEtendueProtection;paysLieu
A TRAVERS CHANTS;676418;Organisme de Spectacle;;France;;64;;rue;Annie de Pène;;;ROUEN;76000;Rouen;76540;0;;Zora + Le Pied de la Pompe;Spectacle;Musique|Variété - Chanson|Musiques - Concerts) Scènes et concerts;20h30;TN 12 / TR 9;;0;0;0;0;0;0;0;0;0;18/03/11;18/03/11;1;;;BUREAU DE L'ASSOCIATION;;;0;;64;;rue;Annie de Pène;;;ROUEN;76000;Rouen;76540;0;;0;;;;;France
A-EFF   L'ALSACE BOSSUE;66643;Autres;;France;;10;;rue;Paul Paray;;;DIEMERINGEN;67430;Diemeringen;67095;0;autre association;La Sarre à Contes (9e);Festival, biennale;Littérature - Langues)Livres,littérature|Livre et littérature|conte;;;;0;0;0;0;0;0;0;0;0;15/07/11;14/08/11;1;;;SYNDICAT D'INITIATIVE DE L'ALSACE BOSSUE;;;0;;10;;Route;Paul Paray;;;DIEMERINGEN;67430;Diemeringen;67095;0;;0;;;Parc naturel regional;;France
A.H.TAMMSAARE MUSEUM - CITY MUSEUM;313160;Musées;;Estonie;;;;;;;;;10125;Tallinn;;0;;Visit of the museum;Visite du lieu;Autour des collections ;18:00 - 23:00;;;0;0;0;0;0;0;0;0;0;14/05/11;14/05/11;1;;1;;;;;;;;;;;;;;;;;;;;;;;
A.H.TAMMSAARE MUSEUM IN VARGAMÄE;740608;Musées;;Estonie;;;;;Vetepere küla, Albu vald;;;;73402;Järvamaa;;0;;Night of Museums;<Non renseigné>;;18:00 - 23:00;;;0;0;0;0;0;0;0;0;0;14/05/11;14/05/11;1;;1;;;;;;;;;;;;;;;;;;;;;;;
A.I.D.A. (AGENCE ISÉROISE DE DIFFUSION ARTISTIQUE);742713;Organisme multidisciplinaire;AIDA38;France;;7;;av; des maquis du Grésivaudan;;;LA TRONCHE;38700;La Tronche;38516;0;;7 images du Diable (Faux et usages de Faust);Spectacle;Musique|musique classique et contemporaine|Musiques - Concerts) Scènes et concerts;Le 22 à 15h & 17h, les 23, 24 & 28 à 15h, le 27 à 17h;de 8 à 15;;0;0;0;0;0;0;0;0;0;22/08/11;22/08/11;1;;;;;;;;;;;;;;;;;;;;;;;;;
A.I.D.A. (AGENCE ISÉROISE DE DIFFUSION ARTISTIQUE);742713;Organisme multidisciplinaire;AIDA38;France;;7;;av; des maquis du Grésivaudan;;;LA TRONCHE;38700;La Tronche;38516;0;;Anima Eterna Brugge;Spectacle;Musique|musique classique et contemporaine|Musiques - Concerts) Scènes et concerts;21h;de 15 à 45;;0;0;0;0;0;0;0;0;0;24/08/11;24/08/11;1;;;;;;;;;;;;;;;;;;;;;;;;;
A.I.D.A. (AGENCE ISÉROISE DE DIFFUSION ARTISTIQUE);742713;Organisme multidisciplinaire;AIDA38;France;;7;;av; des maquis du Grésivaudan;;;LA TRONCHE;38700;La Tronche;38516;0;;Bertrand Chamayou, piano;Spectacle;Musique|musique classique et contemporaine|Musiques - Concerts) Scènes et concerts;17h;de 15 à 30;;0;0;0;0;0;0;0;0;0;20/08/11;20/08/11;1;;;;;;;;;;;;;;;;;;;;;;;;;
A.I.D.A. (AGENCE ISÉROISE DE DIFFUSION ARTISTIQUE);742713;Organisme multidisciplinaire;AIDA38;France;;7;;av; des maquis du Grésivaudan;;;LA TRONCHE;38700;La Tronche;38516;0;;Choeur Britten;Spectacle;Musique|musique classique et contemporaine|Cinéma - Multimédia) Cinéma|Cinéma;17h;de 15 à 30;;0;0;0;0;0;0;0;0;0;25/08/11;25/08/11;1;;;;;;;;;;;;;;;;;;;;;;;;;
A.I.D.A. (AGENCE ISÉROISE DE DIFFUSION ARTISTIQUE);742713;Organisme multidisciplinaire;AIDA38;France;;7;;av; des maquis du Grésivaudan;;;LA TRONCHE;38700;La Tronche;38516;0;;Choeur de Lyon -- Bernard Tétu;Spectacle;Musique|musique classique et contemporaine|Musiques - Concerts) Scènes et concerts;21h;de 15 à 30;;0;0;0;0;0;0;0;0;0;22/08/11;22/08/11;1;;;;;;;;;;;;;;;;;;;;;;;;;
A.I.D.A. (AGENCE ISÉROISE DE DIFFUSION ARTISTIQUE);742713;Organisme multidisciplinaire;AIDA38;France;;7;;av; des maquis du Grésivaudan;;;LA TRONCHE;38700;La Tronche;38516;0;;David Violi, piano;Spectacle;Musique|musique classique et contemporaine|Musiques - Concerts) Scènes et concerts;17h;de 10 à 20;;0;0;0;0;0;0;0;0;0;21/08/11;21/08/11;1;;;;;;;;;;;;;;;;;;;;;;;;;
A.I.D.A. (AGENCE ISÉROISE DE DIFFUSION ARTISTIQUE);742713;Organisme multidisciplinaire;AIDA38;France;;7;;av; des maquis du Grésivaudan;;;LA TRONCHE;38700;La Tronche;38516;0;;Fascinantes Etrangetés;Conférence (débat, colloque);Musique|musique classique et contemporaine|Musiques - Concerts) Scènes et concerts;de 10h à 17h;gratuit;;0;0;0;0;0;0;0;0;0;24/08/11;27/08/11;1;;1;;;;;;;;;;;;;;;;;;;;;;;
A.I.D.A. (AGENCE ISÉROISE DE DIFFUSION ARTISTIQUE);742713;Organisme multidisciplinaire;AIDA38;France;;7;;av; des maquis du Grésivaudan;;;LA TRONCHE;38700;La Tronche;38516;0;;Festiv«Promenade musicale» l Berlioz;Spectacle;Musique|musique classique et contemporaine|Musiques - Concerts) Scènes et concerts;17h;gratuit;;0;0;0;0;0;0;0;0;0;18/08/11;18/08/11;1;;1;;;;;;;;;;;;;;;;;;;;;;;
A.I.D.A. (AGENCE ISÉROISE DE DIFFUSION ARTISTIQUE);742713;Organisme multidisciplinaire;AIDA38;France;;7;;av; des maquis du Grésivaudan;;;LA TRONCHE;38700;La Tronche;38516;0;;Franck Pulcini, trompette;Spectacle;Musique|musique classique et contemporaine|Musiques - Concerts) Scènes et concerts;17h;de 10 à 20;;0;0;0;0;0;0;0;0;0;27/08/11;27/08/11;1;;;;;;;;;;;;;;;;;;;;;;;;;
A.I.D.A. (AGENCE ISÉROISE DE DIFFUSION ARTISTIQUE);742713;Organisme multidisciplinaire;AIDA38;France;;7;;av; des maquis du Grésivaudan;;;LA TRONCHE;38700;La Tronche;38516;0;;La Chambre Philharmonique;Spectacle;Musique|musique classique et contemporaine|Musiques - Concerts) Scènes et concerts;21h;de 20 à 60;;0;0;0;0;0;0;0;0;0;18/08/11;18/08/11;1;;;;;;;;;;;;;;;;;;;;;;;;;
A.I.D.A. (AGENCE ISÉROISE DE DIFFUSION ARTISTIQUE);742713;Organisme multidisciplinaire;AIDA38;France;;06/01/00;;av; des maquis du Grésivaudan;;;LA TRONCHE;38700;La Tronche;38516;0;;Le cauchemar d'Hector // A travers chambres;Spectacle;Musique|musique classique et contemporaine|Musiques - Concerts) Scènes et concerts;15h;gratuit;;0;0;0;0;0;0;0;0;0;21/08/11;21/08/11;1;;1;;;;;;;;;;;;;;;;;;;;;;;
A.I.D.A. (AGENCE ISÉROISE DE DIFFUSION ARTISTIQUE);742713;Organisme multidisciplinaire;AIDA38;France;;7;;av; des maquis du Grésivaudan;;;LA TRONCHE;38700;La Tronche;38516;0;;Le Cauchemar d'Hector // La chasse à la grosse bête;Spectacle;Musique|musique classique et contemporaine|Musiques - Concerts) Scènes et concerts;17h;gratuit;;0;0;0;0;0;0;0;0;0;20/08/11;20/08/11;1;;1;;;;;;;;;;;;;;;;;;;;;;;
A.I.D.A. (AGENCE ISÉROISE DE DIFFUSION ARTISTIQUE);742713;Organisme multidisciplinaire;AIDA38;France;;7;;av; des maquis du Grésivaudan;;;LA TRONCHE;38700;La Tronche;38516;0;;Le cauchemar d'Hector // Ou le retour à la vie;Spectacle;Musique|musique classique et contemporaine|Musiques - Concerts) Scènes et concerts;19h;de 8 à 15;;0;0;0;0;0;0;0;0;0;20/08/11;20/08/11;1;;;;;;;;;;;;;;;;;;;;;;;;;
A.I.D.A. (AGENCE ISÉROISE DE DIFFUSION ARTISTIQUE);742713;Organisme multidisciplinaire;AIDA38;France;;7;;av; des maquis du Grésivaudan;;;LA TRONCHE;38700;La Tronche;38516;0;;Le cauchemar d'Hector // Ou le retour à la vie;Spectacle;Musique|musique classique et contemporaine|Musiques - Concerts) Scènes et concerts;19h;de 8 à 15;;0;0;0;0;0;0;0;0;0;21/08/11;21/08/11;1;;;;;;;;;;;;;;;;;;;;;;;;;
A.I.D.A. (AGENCE ISÉROISE DE DIFFUSION ARTISTIQUE);742713;Organisme multidisciplinaire;AIDA38;France;;7;;av; des maquis du Grésivaudan;;;LA TRONCHE;38700;La Tronche;38516;0;;Le Cercle de l'Harmonie;Spectacle;Musique|musique classique et contemporaine|Musiques - Concerts) Scènes et concerts;21h;de 15 à 45;;0;0;0;0;0;0;0;0;0;19/08/11;19/08/11;1;;;;;;;;;;;;;;;;;;;;;;;;;
A.I.D.A. (AGENCE ISÉROISE DE DIFFUSION ARTISTIQUE);742713;Organisme multidisciplinaire;AIDA38;France;;7;;av; des maquis du Grésivaudan;;;LA TRONCHE;38700;La Tronche;38516;0;;Les Cris de Paris;Spectacle;Musique|musique classique et contemporaine|Musiques - Concerts) Scènes et concerts;21h;de 15 à 30;;0;0;0;0;0;0;0;0;0;21/08/11;21/08/11;1;;;;;;;;;;;;;;;;;;;;;;;;;
A.I.D.A. (AGENCE ISÉROISE DE DIFFUSION ARTISTIQUE);742713;Organisme multidisciplinaire;AIDA38;France;;7;;av; des maquis du Grésivaudan;;;LA TRONCHE;38700;La Tronche;38516;0;;Les Siècles;Spectacle;Musique|musique classique et contemporaine|Musiques - Concerts) Scènes et concerts;19h;de 15 à 45;;0;0;0;0;0;0;0;0;0;20/08/11;20/08/11;1;;;;;;;;;;;;;;;;;;;;;;;;;
A.I.D.A. (AGENCE ISÉROISE DE DIFFUSION ARTISTIQUE);742713;Organisme multidisciplinaire;AIDA38;France;;7;;av; des maquis du Grésivaudan;;;LA TRONCHE;38700;La Tronche;38516;0;;Michaël Lévinas, piano;Spectacle;Musique|musique classique et contemporaine|Musiques - Concerts) Scènes et concerts;17h;de 15 à 30;;0;0;0;0;0;0;0;0;0;26/08/11;26/08/11;1;;;;;;;;;;;;;;;;;;;;;;;;;
A.I.D.A. (AGENCE ISÉROISE DE DIFFUSION ARTISTIQUE);742713;Organisme multidisciplinaire;AIDA38;France;;7;;av; des maquis du Grésivaudan;;;LA TRONCHE;38700;La Tronche;38516;0;;Orchestre de l'Opéra de Reims;Spectacle;Musique|musique classique et contemporaine|Musiques - Concerts) Scènes et concerts;21h;de 15 à 45;;0;0;0;0;0;0;0;0;0;23/08/11;23/08/11;1;;;;;;;;;;;;;;;;;;;;;;;;;
A.I.D.A. (AGENCE ISÉROISE DE DIFFUSION ARTISTIQUE);742713;Organisme multidisciplinaire;AIDA38;France;;7;;av; des maquis du Grésivaudan;;;LA TRONCHE;38700;La Tronche;38516;0;;Orchestre des Pays de Savoie;Spectacle;Musique|musique classique et contemporaine|Musiques - Concerts) Scènes et concerts;21h;de 15 à 45;;0;0;0;0;0;0;0;0;0;25/08/11;25/08/11;1;;;;;;;;;;;;;;;;;;;;;;;;;
A.I.D.A. (AGENCE ISÉROISE DE DIFFUSION ARTISTIQUE);742713;Organisme multidisciplinaire;AIDA38;France;;7;;av; des maquis du Grésivaudan;;;LA TRONCHE;38700;La Tronche;38516;0;;Orchestre Européen Hector Berlioz;Spectacle;Musique|musique classique et contemporaine|Musiques - Concerts) Scènes et concerts;21h;de 20 à 60;;0;0;0;0;0;0;0;0;0;28/08/11;28/08/11;1;;;;;;;;;;;;;;;;;;;;;;;;;
A.I.D.A. (AGENCE ISÉROISE DE DIFFUSION ARTISTIQUE);742713;Organisme multidisciplinaire;AIDA38;France;;7;;av; des maquis du Grésivaudan;;;LA TRONCHE;38700;La Tronche;38516;0;;Orchestre National d'Île de France;Spectacle;Musique|musique classique et contemporaine|Musiques - Concerts) Scènes et concerts;21h;de 15 à 45;;0;0;0;0;0;0;0;0;0;26/08/11;26/08/11;1;;;;;;;;;;;;;;;;;;;;;;;;;
A.I.D.A. (AGENCE ISÉROISE DE DIFFUSION ARTISTIQUE);742713;Organisme multidisciplinaire;AIDA38;France;;7;;av; des maquis du Grésivaudan;;;LA TRONCHE;38700;La Tronche;38516;0;;Orchestre National de Lyon;Spectacle;Musique|musique classique et contemporaine|Musiques - Concerts) Scènes et concerts;21h;de 15 à 45;;0;0;0;0;0;0;0;0;0;27/08/11;27/08/11;1;;;;;;;;;;;;;;;;;;;;;;;;;
A.I.D.A. (AGENCE ISÉROISE DE DIFFUSION ARTISTIQUE);742713;Organisme multidisciplinaire;AIDA38;France;;7;;av; des maquis du Grésivaudan;;;LA TRONCHE;38700;La Tronche;38516;0;;Roger Muraro, piano;Spectacle;Musique|musique classique et contemporaine|Musiques - Concerts) Scènes et concerts;17h;de 15 à 30;;0;0;0;0;0;0;0;0;0;19/08/11;19/08/11;1;;;;;;;;;;;;;;;;;;;;;;;;;
A.I.D.A. (AGENCE ISÉROISE DE DIFFUSION ARTISTIQUE);742713;Organisme multidisciplinaire;AIDA38;France;;7;;av; des maquis du Grésivaudan;;;LA TRONCHE;38700;La Tronche;38516;0;;Scènes de Faust;Spectacle;Musique|musique classique et contemporaine|Musiques - Concerts) Scènes et concerts;17h;de 10 à 20;;0;0;0;0;0;0;0;0;0;23/08/11;23/08/11;1;;;;;;;;;;;;;;;;;;;;;;;;;
A.I.D.A. (AGENCE ISÉROISE DE DIFFUSION ARTISTIQUE);742713;Organisme multidisciplinaire;AIDA38;France;;7;;av; des maquis du Grésivaudan;;;LA TRONCHE;38700;La Tronche;38516;0;;Séance de Minuit : La Beauté du diable, René Clair (1950);Projection;Musique|musique classique et contemporaine|Cinéma - Multimédia) Cinéma|Cinéma;23h;gratuit;;0;0;0;0;0;0;0;0;0;24/08/11;24/08/11;1;;1;;;;;;;;;;;;;;;;;;;;;;;
A.I.D.A. (AGENCE ISÉROISE DE DIFFUSION ARTISTIQUE);742713;Organisme multidisciplinaire;AIDA38;France;;7;;av; des maquis du Grésivaudan;;;LA TRONCHE;38700;La Tronche;38516;0;;Séance de Minuit : Lisztomania, Ken Russel (1975 -- V.O.);Projection;Musique|musique classique et contemporaine|Musiques - Concerts) Scènes et concerts|Cinéma;23h;gratuit;;0;0;0;0;0;0;0;0;0;27/08/11;27/08/11;1;;1;;;;;;;;;;;;;;;;;;;;;;;
A.I.D.A. (AGENCE ISÉROISE DE DIFFUSION ARTISTIQUE);742713;Organisme multidisciplinaire;AIDA38;France;;7;;av; des maquis du Grésivaudan;;;LA TRONCHE;38700;La Tronche;38516;0;;Séance de Minuit : Rapsodica Satanica, Nino Oxilia (1917);Spectacle;Musique|musique classique et contemporaine|Musiques - Concerts) Scènes et concerts|Cinéma;23h;gratuit;;0;0;0;0;0;0;0;0;0;20/08/11;20/08/11;1;;1;;;;;;;;;;;;;;;;;;;;;;;
A.I.D.A. (AGENCE ISÉROISE DE DIFFUSION ARTISTIQUE);742713;Organisme multidisciplinaire;AIDA38;France;;7;;av; des maquis du Grésivaudan;;;LA TRONCHE;38700;La Tronche;38516;0;;Sous le Balcon d'Hector;Spectacle;Musique|musique classique et contemporaine|Musiques - Concerts) Scènes et concerts;19h;gratuit;;0;0;0;0;0;0;0;0;0;23/08/11;28/08/11;1;;1;;;;;;;;;;;;;;;;;;;;;;;
A.I.D.A. (AGENCE ISÉROISE DE DIFFUSION ARTISTIQUE);742713;Organisme multidisciplinaire;AIDA38;France;;7;;av; des maquis du Grésivaudan;;;LA TRONCHE;38700;La Tronche;38516;0;;Trio George Sand;Spectacle;Musique|musique classique et contemporaine|Musiques - Concerts) Scènes et concerts;17h;de 10 à 20;;0;0;0;0;0;0;0;0;0;28/08/11;28/08/11;1;;;;;;;;;;;;;;;;;;;;;;;;;
A.I.D.A. (AGENCE ISÉROISE DE DIFFUSION ARTISTIQUE);742713;Organisme multidisciplinaire;AIDA38;France;;7;;av; des maquis du Grésivaudan;;;LA TRONCHE;38700;La Tronche;38516;0;;Festival Berlioz;Festival, biennale;Musique|musique classique et contemporaine|Musiques - Concerts) Scènes et concerts;15h / 17h/ 19h / 21h / 23h;de 8 à 60;;0;0;0;0;0;0;0;0;0;18/08/11;28/08/11;1;;;AIDA;;;0;;7;;av; des maquis du Grésivaudan;;;LA TRONCHE;38700;La Tronche;38516;0;;0;;;;;France
A.I.D.A. (AGENCE ISÉROISE DE DIFFUSION ARTISTIQUE);742713;Organisme multidisciplinaire;AIDA38;France;;7;;av; des maquis du Grésivaudan;;;LA TRONCHE;38700;La Tronche;38516;0;;Quintette à vent de Paris;Spectacle;Musique|musique classique et contemporaine|Musiques - Concerts) Scènes et concerts;17h;de 10 à 20;;0;0;0;0;0;0;0;0;0;24/08/11;24/08/11;1;;;AIDA;;;0;;7;;av; des maquis du Grésivaudan;;;LA TRONCHE;38700;La Tronche;38516;0;;0;;;;;France
AAAAAAAAAAAAAAAAAAAAAAAAAAAAA;68882;A Typer FOCOL;;France;;;;;;;;PAU;64000;Pau;64445;0;;test 3;Circuit;;;;;0;0;0;0;0;0;0;0;0;;;0;;0;;;;;;;;;;;;;;;;;;;;;;;
ABBATIALE DE SAINT-RIQUIER;19516;Monument ou site;;France;;;;place;de l'église;;;;80135;Saint-Riquier;80716;0;;Jazz sur l'Herbe à Saint-Riquier (27e);Festival, biennale;Musique|jazz|Musiques - Concerts) Scènes et concerts;de 12h30 à 18h30;10 TR 5;;0;0;0;0;0;0;0;0;0;26/06/11;26/06/11;1;;;;;;;;;;;;;;;;;;;;;;;;;
ABBATIALE NOTRE-DAME;25265;Monument ou site;;France;;;;;;;;;27300;Bernay;27056;0;;Démonstration de vitrail dans la salle capitulaire;Atelier;Architecture - Patrimoine) Architecture|Archi - Pat) Patrimoine et monuments|Architecture - Patrimoine) Paysage|Jeune Public) Ateliers;Dim 15h-1730;;;0;0;0;0;0;0;0;0;0;;;0;;;ABBATIALE NOTRE-DAME;Edifice de culte;;0;;;;;;;;;27300;Bernay;27056;1;;0;;;;;France
ABBATIALE NOTRE-DAME;23078;Monument ou site;;France;;;;;;;;;33230;Guîtres;33198;0;;Saison musicale des Amis de l'Abbatiale de Guîtres;Festival, biennale;Musique|Musiques - Concerts) Scènes et concerts;;;;0;0;0;0;0;0;0;0;0;19/06/11;18/09/11;1;;;ABBATIALE NOTRE-DAME;;;0;;;;;;;;GUITRES;33230;Guîtres;33198;1;;0;;;;;France
ABBAYE AUX DAMES;24013;Monument ou site;;France;;;;Place;Reine Mathilde;BP 523;;CAEN CEDEX 1;14035;Caen;14118;0;;Du Baroque au Classique;Spectacle;Musique|musique classique et contemporaine|Musiques - Concerts) Scènes et concerts|Spectacle;le 17/02 à 20h / le 20/02 à 17h;TU 10;;0;0;0;0;0;0;0;0;0;17/02/11;20/02/11;1;;;;;;;;;;;;;;;;;;;;;;;;;
ABBAYE AUX DAMES;24013;Monument ou site;;France;;;;Place;Reine Mathilde;BP 523;;CAEN CEDEX 1;14035;Caen;14118;0;;Récital Piano 4 Mains. Frédéric Aguessy, piano Jeanne-Marie Golse, piano;Spectacle;Musique|musique classique et contemporaine|Musiques - Concerts) Scènes et concerts;le 20/01 à 20h / le 23/01 à 17h;TU 10;;0;0;0;0;0;0;0;0;0;20/01/11;23/01/11;1;;;;;;;;;;;;;;;;;;;;;;;;;
ABBAYE AUX DAMES;24013;Monument ou site;;France;;;;Place;Reine Mathilde;BP 523;;CAEN CEDEX 1;14035;Caen;14118;0;;Récital Piano Accordéon - Jeanne-Marie Golse, piano & Satu Niiranen, accordéon;Spectacle;Musique|Musiques - Concerts) Scènes et concerts;Le 4 à 20h, le 6 à 17h;;;0;0;0;0;0;0;0;0;0;04/11/11;06/11/11;1;;;;;;;;;;;;;;;;;;;;;;;;;
ABBAYE AUX DAMES;24013;Monument ou site;;France;;;;Place;Reine Mathilde;BP 523;;CAEN CEDEX 1;14035;Caen;14118;0;;Penderecki -- Beethoven;Spectacle;Musique|musique classique et contemporaine|Musiques - Concerts) Scènes et concerts|Spectacle;20h;TU 10;;0;0;0;0;0;0;0;0;0;07/04/11;07/04/11;1;;;ABBAYE AUX DAMES;Edifice public|Etablissement monastique|Edifice de culte;;1;;;;Place;Reine Mathilde;;;CAEN CEDEX 1;14035;Caen;14118;1;;0;;;;;France
ABBAYE AUX DAMES;24013;Monument ou site;;France;;;;Place;Reine Mathilde;BP 523;;CAEN CEDEX 1;14035;Caen;14118;0;;Printemps. Jean-Pierre Wallez, direction musicale - L'Ensemble de Basse --Normandie;Spectacle;Musique|musique classique et contemporaine|Musiques - Concerts) Scènes et concerts|Spectacle;20h;TU 10;;0;0;0;0;0;0;0;0;0;12/05/11;12/05/11;1;;;ABBAYE AUX DAMES;Edifice public|Etablissement monastique|Edifice de culte;;1;;;;Place;Reine Mathilde;;;CAEN CEDEX 1;14035;Caen;14118;1;;0;;;;;France
ABBAYE AUX DAMES;24013;Monument ou site;;France;;;;Place;Reine Mathilde;BP 523;;CAEN CEDEX 1;14035;Caen;14118;0;;Schumann -- Dvorak;Spectacle;Musique|musique classique et contemporaine|Musiques - Concerts) Scènes et concerts|Spectacle;20h;TU 10;;0;0;0;0;0;0;0;0;0;30/06/11;30/06/11;1;;;ABBAYE AUX DAMES;Edifice public|Etablissement monastique|Edifice de culte;;1;;;;Place;Reine Mathilde;;;CAEN CEDEX 1;14035;Caen;14118;1;;0;;;;;France
ABBAYE D'ACEY;13592;Monument ou site;;France;;;;;;;;;39350;Vitreux;39581;0;;Jean Ricardon, 48 verrières, 1995;Visite du lieu;Art contemporain|Art religieux (art sacré)|Arts - Expos) Design et art contemporain|Architecture - Patrimoine) Architecture;;;;0;0;0;0;0;0;0;0;0;;;0;;1;ABBAYE D'ACEY;Edifice de culte;;1;;;;;;;;;39350;Vitreux;39581;1;;1;;;;;France
ABBAYE D'ARTHOUS;23181;Monument ou site;;France;;;;;Abbaye d'Arthous;;;;40300;Hastingues;40120;0;;Conférence «Krishna dans la religion et la culture indoue»;Conférence (débat, colloque);Antiquités étrangères|Jeune Public) Ateliers|orientales|Ethnologie;16h;Gratuit;;0;0;0;0;0;0;0;0;0;12/06/11;12/06/11;1;;1;ABBAYE D'ARTHOUS;Edifice de culte;;1;;;;;;;;;40300;Hastingues;40120;1;;0;;;;;France
ABBAYE D'ARTHOUS;23181;Monument ou site;;France;;;;;Abbaye d'Arthous;;;;40300;Hastingues;40120;0;;Conférence «Les peintures rituelles des Saora, une tribue du Centre-Est de l'Inde»;Conférence (débat, colloque);Antiquités étrangères|Jeune Public) Ateliers|orientales|Ethnologie;15h30;Gratuit;;0;0;0;0;0;0;0;0;0;13/06/11;13/06/11;1;;1;ABBAYE D'ARTHOUS;Edifice de culte;;1;;;;;;;;;40300;Hastingues;40120;1;;0;;;;;France
ABBAYE D'ARTHOUS;23181;Monument ou site;;France;;;;;Abbaye d'Arthous;;;;40300;Hastingues;40120;0;;Conférence «Potiers de Molela, faiseurs d'images et faiseurs de pots»;Conférence (débat, colloque);Antiquités étrangères|Jeune Public) Ateliers|orientales|Ethnologie;16h;Gratuit;;0;0;0;0;0;0;0;0;0;11/06/11;11/06/11;1;;1;ABBAYE D'ARTHOUS;Edifice de culte;;1;;;;;;;;;40300;Hastingues;40120;1;;0;;;;;France
ABBAYE D'ARTHOUS;23181;Monument ou site;;France;;;;;Abbaye d'Arthous;;;;40300;Hastingues;40120;0;;Conférence «Potiers et légendes»;Conférence (débat, colloque);Antiquités étrangères|Jeune Public) Ateliers|orientales|Ethnologie;11h;Gratuit;;0;0;0;0;0;0;0;0;0;12/06/11;12/06/11;1;;1;ABBAYE D'ARTHOUS;Edifice de culte;;1;;;;;;;;;40300;Hastingues;40120;1;;0;;;;;France
ABBAYE D'ARTHOUS;23181;Monument ou site;;France;;;;;Abbaye d'Arthous;;;;40300;Hastingues;40120;0;;Exposition Land'Archéo;Exposition temporaire;Art contemporain|Jeune Public) Expositions|Archéologie;10h30-13h & 14h-18h30;4 - Gratuit le 1er dimanche du mois pour tous, gratuit -18 ans;;0;0;0;0;0;0;0;0;0;08/04/11;28/08/11;1;;;ABBAYE D'ARTHOUS;Edifice de culte;;1;;;;;;;;;40300;Hastingues;40120;1;;0;;;;;France
ABBAYE D'ARTHOUS;23181;Monument ou site;;France;;;;;Abbaye d'Arthous;;;;40300;Hastingues;40120;0;;Exposition Terres de Rugby;Exposition temporaire;Archives|Arts - Expos) Pluridisciplinaire|Sport;14h-17h;Gratuit;;0;0;0;0;0;0;0;0;0;01/10/11;11/12/11;1;;1;ABBAYE D'ARTHOUS;Edifice de culte;;1;;;;;;;;;40300;Hastingues;40120;1;;0;;;;;France
ABBAYE D'ARTHOUS;23181;Monument ou site;;France;;;;;Abbaye d'Arthous;;;;40300;Hastingues;40120;0;;Festival international de la Céramique (14e);Festival, biennale;Antiquités étrangères|Arts - Expos) Pluridisciplinaire|orientales;10h-19h;Gratuit;;0;0;0;0;0;0;0;0;0;11/06/11;13/06/11;1;;1;ABBAYE D'ARTHOUS;Edifice de culte;;1;;;;;;;;;40300;Hastingues;40120;1;;0;;;;;France
ABBAYE D'ARTHOUS;23181;Monument ou site;;France;;;;;Abbaye d'Arthous;;;;40300;Hastingues;40120;0;;Journées de l'Archéologie;Conférence (débat, colloque);Période|XXe siècle|Jeune Public) Ateliers|Archéologie;15h;4 (entrée au musée), gratuit -18 ans;;0;0;0;0;0;0;0;0;0;22/05/11;22/05/11;1;;;ABBAYE D'ARTHOUS;Edifice de culte;;1;;;;;;;;;40300;Hastingues;40120;1;;0;;;;;France
ABBAYE DE BEAULIEU, CENTRE D'ART CONTEMPORAIN (CMN);4530;Monument ou site;;France;;;;;;;;;82330;Ginals;82069;0;Monument du Centre des monuments nationaux - monum;Bestiaires;Exposition temporaire;Art contemporain|Arts - Expos) Design et art contemporain;;;;0;0;0;0;0;0;0;0;0;15/04/11;05/06/11;1;;;ABBAYE DE BEAULIEU, CENTRE D'ART CONTEMPORAIN (CMN);;;0;;;;;;;;;82330;Ginals;82069;0;;0;;;;;France